time, MSD, sterr
1.000000e+03,4.310787e-01,8.040789e-03
2.000000e+03,1.552544e+00,3.068248e-02
3.000000e+03,3.255542e+00,6.664350e-02
4.000000e+03,5.526998e+00,1.151502e-01
5.000000e+03,8.382510e+00,1.760710e-01
6.000000e+03,1.175102e+01,2.478340e-01
7.000000e+03,1.559462e+01,3.304130e-01
8.000000e+03,1.997407e+01,4.229021e-01
9.000000e+03,2.485640e+01,5.256963e-01
1.000000e+04,3.016338e+01,6.370687e-01
1.100000e+04,3.581286e+01,7.558287e-01
1.200000e+04,4.179714e+01,8.807724e-01
1.300000e+04,4.816644e+01,1.014025e+00
1.400000e+04,5.481099e+01,1.151572e+00
1.500000e+04,6.193346e+01,1.300231e+00
1.600000e+04,6.932001e+01,1.452491e+00
1.700000e+04,7.688905e+01,1.605774e+00
1.800000e+04,8.467204e+01,1.764248e+00
1.900000e+04,9.273744e+01,1.927201e+00
2.100000e+04,1.092326e+02,2.255254e+00
2.200000e+04,1.179129e+02,2.427372e+00
2.300000e+04,1.265374e+02,2.594342e+00
2.500000e+04,1.444006e+02,2.938156e+00
2.600000e+04,1.535227e+02,3.112689e+00
2.800000e+04,1.721121e+02,3.459491e+00
2.900000e+04,1.814537e+02,3.632676e+00
3.100000e+04,2.006015e+02,3.982855e+00
3.300000e+04,2.203465e+02,4.338198e+00
3.500000e+04,2.406525e+02,4.699837e+00
3.700000e+04,2.614442e+02,5.064523e+00
3.900000e+04,2.826279e+02,5.429706e+00
4.100000e+04,3.041332e+02,5.795064e+00
4.400000e+04,3.373097e+02,6.340420e+00
4.600000e+04,3.594844e+02,6.680601e+00
4.900000e+04,3.930264e+02,7.178672e+00
5.200000e+04,4.263189e+02,7.655210e+00
5.500000e+04,4.601482e+02,8.116667e+00
5.800000e+04,4.944109e+02,8.557845e+00
6.100000e+04,5.286881e+02,8.975699e+00
6.500000e+04,5.749816e+02,9.523242e+00
6.900000e+04,6.213581e+02,1.002189e+01
7.300000e+04,6.687348e+02,1.052118e+01
7.700000e+04,7.164903e+02,1.100144e+01
8.200000e+04,7.757725e+02,1.157988e+01
8.600000e+04,8.238199e+02,1.203541e+01
9.200000e+04,8.991275e+02,1.273085e+01
9.700000e+04,9.654909e+02,1.333153e+01
1.030000e+05,1.047332e+03,1.403845e+01
1.090000e+05,1.130000e+03,1.472796e+01
1.150000e+05,1.213468e+03,1.542941e+01
1.220000e+05,1.313319e+03,1.626098e+01
1.290000e+05,1.414642e+03,1.705962e+01
1.360000e+05,1.516501e+03,1.780418e+01
1.440000e+05,1.629511e+03,1.859623e+01
1.530000e+05,1.754833e+03,1.949619e+01
1.610000e+05,1.862507e+03,2.030907e+01
1.710000e+05,1.998142e+03,2.136402e+01
1.810000e+05,2.124120e+03,2.227608e+01
1.910000e+05,2.245561e+03,2.311980e+01
2.020000e+05,2.381956e+03,2.409528e+01
2.140000e+05,2.536363e+03,2.523879e+01
2.270000e+05,2.706787e+03,2.644978e+01
2.400000e+05,2.876823e+03,2.766463e+01
2.540000e+05,3.065331e+03,2.898680e+01
2.690000e+05,3.253477e+03,3.027726e+01
2.840000e+05,3.428051e+03,3.141022e+01
3.010000e+05,3.603679e+03,3.242474e+01
3.190000e+05,3.783160e+03,3.349623e+01
3.370000e+05,3.993230e+03,3.477395e+01
3.570000e+05,4.243557e+03,3.640182e+01
3.770000e+05,4.473595e+03,3.811745e+01
3.990000e+05,4.712558e+03,3.976151e+01
4.230000e+05,4.988175e+03,4.165662e+01
4.470000e+05,5.234342e+03,4.323241e+01
4.730000e+05,5.493762e+03,4.485577e+01
5.010000e+05,5.797108e+03,4.680214e+01
5.300000e+05,6.101722e+03,4.870942e+01
5.610000e+05,6.430929e+03,5.063970e+01
5.940000e+05,6.774603e+03,5.285882e+01
6.280000e+05,7.122700e+03,5.487961e+01
6.650000e+05,7.449814e+03,5.680185e+01
7.030000e+05,7.795828e+03,5.874584e+01
7.440000e+05,8.213108e+03,6.097630e+01
7.880000e+05,8.723682e+03,6.372768e+01
8.330000e+05,9.239109e+03,6.642525e+01
8.820000e+05,9.699719e+03,6.892361e+01
9.330000e+05,1.008845e+04,7.057523e+01
9.880000e+05,1.057908e+04,7.283237e+01
1.045000e+06,1.106799e+04,7.496346e+01
1.106000e+06,1.163743e+04,7.770813e+01
1.170000e+06,1.208077e+04,7.989903e+01
1.238000e+06,1.263407e+04,8.262019e+01
1.310000e+06,1.318267e+04,8.481712e+01
1.386000e+06,1.386900e+04,8.820489e+01
1.467000e+06,1.438324e+04,9.048359e+01
1.552000e+06,1.492591e+04,9.284243e+01
1.643000e+06,1.549647e+04,9.498810e+01
1.738000e+06,1.617396e+04,9.678559e+01
1.839000e+06,1.678273e+04,9.857565e+01
1.946000e+06,1.746254e+04,1.008638e+02
2.060000e+06,1.818377e+04,1.027378e+02
2.179000e+06,1.891795e+04,1.048971e+02
2.306000e+06,1.962694e+04,1.066118e+02
2.440000e+06,2.076600e+04,1.112086e+02
2.582000e+06,2.179583e+04,1.147517e+02
2.732000e+06,2.263633e+04,1.172294e+02
2.891000e+06,2.350650e+04,1.195039e+02
3.060000e+06,2.459797e+04,1.232286e+02
3.238000e+06,2.555708e+04,1.263015e+02
3.426000e+06,2.639462e+04,1.286277e+02
3.625000e+06,2.721765e+04,1.304853e+02
3.836000e+06,2.841555e+04,1.342151e+02
4.059000e+06,2.968058e+04,1.381367e+02
4.295000e+06,3.108121e+04,1.422035e+02
4.545000e+06,3.261600e+04,1.470799e+02
4.809000e+06,3.391632e+04,1.513619e+02
5.089000e+06,3.537238e+04,1.551182e+02
5.385000e+06,3.697433e+04,1.597124e+02
5.698000e+06,3.816964e+04,1.629198e+02
6.029000e+06,3.965828e+04,1.671179e+02
6.380000e+06,4.131703e+04,1.716386e+02
6.751000e+06,4.339055e+04,1.777600e+02
7.143000e+06,4.505065e+04,1.824982e+02
7.559000e+06,4.682261e+04,1.874060e+02
7.998000e+06,4.924237e+04,1.939435e+02
