time, MSD, sterr
1.000000e+02,2.979174e+00,1.716739e-02
2.000000e+02,1.038230e+01,6.158579e-02
3.000000e+02,2.152409e+01,1.286096e-01
4.000000e+02,3.591315e+01,2.148632e-01
5.000000e+02,5.331003e+01,3.195705e-01
6.000000e+02,7.360251e+01,4.418791e-01
7.000000e+02,9.641911e+01,5.792945e-01
8.000000e+02,1.216133e+02,7.303058e-01
9.000000e+02,1.488332e+02,8.919903e-01
1.000000e+03,1.781867e+02,1.067125e+00
1.100000e+03,2.093787e+02,1.252734e+00
1.200000e+03,2.424556e+02,1.449043e+00
1.300000e+03,2.769646e+02,1.651967e+00
1.400000e+03,3.130266e+02,1.862958e+00
1.500000e+03,3.504187e+02,2.081510e+00
1.600000e+03,3.889236e+02,2.305870e+00
1.700000e+03,4.284195e+02,2.535768e+00
1.800000e+03,4.693243e+02,2.772792e+00
1.900000e+03,5.111676e+02,3.013297e+00
2.000000e+03,5.537543e+02,3.258484e+00
2.100000e+03,5.969265e+02,3.505118e+00
2.200000e+03,6.408571e+02,3.756543e+00
2.300000e+03,6.856140e+02,4.012778e+00
2.400000e+03,7.310132e+02,4.270479e+00
2.500000e+03,7.768774e+02,4.528259e+00
2.600000e+03,8.233295e+02,4.787947e+00
2.800000e+03,9.185523e+02,5.315754e+00
2.900000e+03,9.666667e+02,5.580933e+00
3.100000e+03,1.063152e+03,6.104159e+00
3.200000e+03,1.111735e+03,6.367968e+00
3.400000e+03,1.209488e+03,6.890403e+00
3.600000e+03,1.309201e+03,7.424271e+00
3.700000e+03,1.359032e+03,7.689847e+00
3.900000e+03,1.458997e+03,8.219182e+00
4.100000e+03,1.559961e+03,8.751531e+00
4.300000e+03,1.660759e+03,9.272053e+00
4.500000e+03,1.762090e+03,9.797508e+00
4.800000e+03,1.915251e+03,1.059047e+01
5.000000e+03,2.016387e+03,1.110929e+01
5.300000e+03,2.170565e+03,1.189317e+01
5.500000e+03,2.273348e+03,1.240422e+01
5.800000e+03,2.430367e+03,1.317575e+01
6.100000e+03,2.586270e+03,1.393127e+01
6.400000e+03,2.741666e+03,1.467501e+01
6.700000e+03,2.897344e+03,1.541248e+01
7.100000e+03,3.104480e+03,1.638259e+01
7.400000e+03,3.259601e+03,1.710700e+01
7.800000e+03,3.466649e+03,1.805456e+01
8.200000e+03,3.672987e+03,1.900105e+01
8.600000e+03,3.877690e+03,1.994088e+01
9.000000e+03,4.078737e+03,2.083083e+01
9.500000e+03,4.332267e+03,2.192579e+01
9.900000e+03,4.534593e+03,2.281102e+01
1.040000e+04,4.787068e+03,2.387912e+01
1.100000e+04,5.089692e+03,2.514363e+01
1.150000e+04,5.339264e+03,2.616958e+01
1.210000e+04,5.635739e+03,2.738958e+01
1.270000e+04,5.933638e+03,2.860893e+01
1.330000e+04,6.228541e+03,2.978554e+01
1.400000e+04,6.569280e+03,3.111723e+01
1.470000e+04,6.916038e+03,3.249712e+01
1.540000e+04,7.264884e+03,3.385393e+01
1.620000e+04,7.662483e+03,3.538924e+01
1.700000e+04,8.060316e+03,3.689040e+01
1.780000e+04,8.456607e+03,3.836154e+01
1.870000e+04,8.904716e+03,3.999672e+01
1.960000e+04,9.344766e+03,4.161093e+01
2.060000e+04,9.832138e+03,4.342771e+01
2.160000e+04,1.032275e+04,4.524495e+01
2.270000e+04,1.086189e+04,4.716355e+01
2.380000e+04,1.139465e+04,4.907776e+01
2.500000e+04,1.195610e+04,5.100128e+01
2.630000e+04,1.256721e+04,5.305799e+01
2.760000e+04,1.318219e+04,5.516613e+01
2.890000e+04,1.378753e+04,5.719819e+01
3.040000e+04,1.448199e+04,5.955003e+01
3.190000e+04,1.519612e+04,6.197034e+01
3.350000e+04,1.590945e+04,6.442639e+01
3.520000e+04,1.665956e+04,6.704794e+01
3.690000e+04,1.740928e+04,6.961820e+01
3.870000e+04,1.822303e+04,7.247893e+01
4.070000e+04,1.913453e+04,7.558734e+01
4.270000e+04,2.003628e+04,7.857444e+01
4.480000e+04,2.095209e+04,8.157265e+01
4.700000e+04,2.190247e+04,8.466997e+01
4.940000e+04,2.289934e+04,8.794802e+01
5.180000e+04,2.394193e+04,9.118318e+01
5.440000e+04,2.508218e+04,9.478304e+01
5.710000e+04,2.624971e+04,9.861838e+01
5.990000e+04,2.745004e+04,1.026614e+02
6.290000e+04,2.871269e+04,1.068121e+02
6.600000e+04,3.000664e+04,1.109845e+02
6.930000e+04,3.145396e+04,1.156751e+02
7.280000e+04,3.299351e+04,1.204221e+02
7.640000e+04,3.453673e+04,1.252461e+02
8.020000e+04,3.614951e+04,1.304223e+02
8.420000e+04,3.784790e+04,1.359082e+02
8.830000e+04,3.961904e+04,1.417585e+02
9.270000e+04,4.153069e+04,1.478608e+02
9.730000e+04,4.363755e+04,1.552318e+02
1.022000e+05,4.568621e+04,1.623609e+02
1.073000e+05,4.770878e+04,1.691706e+02
1.126000e+05,4.977073e+04,1.751927e+02
1.182000e+05,5.198600e+04,1.824338e+02
1.240000e+05,5.415577e+04,1.897653e+02
1.302000e+05,5.657646e+04,1.980613e+02
1.367000e+05,5.934142e+04,2.071100e+02
1.435000e+05,6.200817e+04,2.159181e+02
1.506000e+05,6.468220e+04,2.251273e+02
1.581000e+05,6.782162e+04,2.356698e+02
1.659000e+05,7.095040e+04,2.451029e+02
1.742000e+05,7.432595e+04,2.556417e+02
1.828000e+05,7.757002e+04,2.651684e+02
1.919000e+05,8.095104e+04,2.756575e+02
2.014000e+05,8.459162e+04,2.874381e+02
2.114000e+05,8.844592e+04,2.999977e+02
2.219000e+05,9.252683e+04,3.133706e+02
2.329000e+05,9.639803e+04,3.247146e+02
2.445000e+05,1.007994e+05,3.392007e+02
2.567000e+05,1.053271e+05,3.536608e+02
2.694000e+05,1.099055e+05,3.682730e+02
2.828000e+05,1.147086e+05,3.839873e+02
2.968000e+05,1.199864e+05,4.013384e+02
3.116000e+05,1.255220e+05,4.199567e+02
3.270000e+05,1.311619e+05,4.386249e+02
3.433000e+05,1.371387e+05,4.569065e+02
3.603000e+05,1.436493e+05,4.781171e+02
3.782000e+05,1.504337e+05,5.015019e+02
3.970000e+05,1.573498e+05,5.227392e+02
4.167000e+05,1.648181e+05,5.471283e+02
4.374000e+05,1.726577e+05,5.728998e+02
4.591000e+05,1.810436e+05,6.006692e+02
4.819000e+05,1.892527e+05,6.272307e+02
5.059000e+05,1.977706e+05,6.553590e+02
5.310000e+05,2.069953e+05,6.849042e+02
5.574000e+05,2.175699e+05,7.209049e+02
5.850000e+05,2.288362e+05,7.585935e+02
6.141000e+05,2.404751e+05,7.955353e+02
6.446000e+05,2.523046e+05,8.346993e+02
6.766000e+05,2.654150e+05,8.807560e+02
7.102000e+05,2.787683e+05,9.242989e+02
7.455000e+05,2.932881e+05,9.733183e+02
