time, MSD, sterr
1.000000e+02,2.772510e+00,1.701234e-02
2.000000e+02,9.732192e+00,6.184175e-02
3.000000e+02,2.022549e+01,1.300019e-01
4.000000e+02,3.396977e+01,2.195760e-01
5.000000e+02,5.068441e+01,3.289841e-01
6.000000e+02,7.008204e+01,4.578100e-01
7.000000e+02,9.202179e+01,6.043451e-01
8.000000e+02,1.162449e+02,7.667148e-01
9.000000e+02,1.427626e+02,9.441184e-01
1.000000e+03,1.714118e+02,1.137159e+00
1.100000e+03,2.019679e+02,1.343022e+00
1.200000e+03,2.341985e+02,1.557960e+00
1.300000e+03,2.679809e+02,1.784709e+00
1.400000e+03,3.034208e+02,2.022518e+00
1.500000e+03,3.398025e+02,2.267512e+00
1.600000e+03,3.777855e+02,2.524503e+00
1.700000e+03,4.170249e+02,2.789067e+00
1.800000e+03,4.573671e+02,3.061885e+00
1.900000e+03,4.992824e+02,3.343930e+00
2.100000e+03,5.853770e+02,3.920815e+00
2.200000e+03,6.300930e+02,4.219295e+00
2.300000e+03,6.753041e+02,4.521162e+00
2.500000e+03,7.684153e+02,5.138725e+00
2.600000e+03,8.161403e+02,5.453438e+00
2.800000e+03,9.131873e+02,6.091614e+00
2.900000e+03,9.621722e+02,6.409803e+00
3.100000e+03,1.062402e+03,7.062719e+00
3.300000e+03,1.163952e+03,7.723861e+00
3.500000e+03,1.265881e+03,8.388868e+00
3.700000e+03,1.369189e+03,9.056864e+00
3.900000e+03,1.473894e+03,9.731579e+00
4.100000e+03,1.579936e+03,1.040125e+01
4.400000e+03,1.739891e+03,1.140017e+01
4.600000e+03,1.847471e+03,1.206859e+01
4.900000e+03,2.008649e+03,1.306271e+01
5.200000e+03,2.170507e+03,1.406119e+01
5.500000e+03,2.334252e+03,1.506077e+01
5.800000e+03,2.498057e+03,1.604849e+01
6.100000e+03,2.660292e+03,1.701501e+01
6.500000e+03,2.876471e+03,1.827713e+01
6.900000e+03,3.094311e+03,1.954117e+01
7.300000e+03,3.309679e+03,2.077371e+01
7.700000e+03,3.523523e+03,2.198419e+01
8.200000e+03,3.787156e+03,2.344379e+01
8.600000e+03,3.996752e+03,2.457660e+01
9.200000e+03,4.307658e+03,2.621161e+01
9.700000e+03,4.556502e+03,2.747153e+01
1.030000e+04,4.855239e+03,2.897419e+01
1.090000e+04,5.157825e+03,3.047198e+01
1.150000e+04,5.454536e+03,3.188728e+01
1.220000e+04,5.806173e+03,3.352316e+01
1.290000e+04,6.155508e+03,3.509484e+01
1.360000e+04,6.510966e+03,3.668362e+01
1.440000e+04,6.911269e+03,3.850027e+01
1.530000e+04,7.344917e+03,4.036157e+01
1.610000e+04,7.723906e+03,4.192955e+01
1.710000e+04,8.191852e+03,4.380490e+01
1.810000e+04,8.663816e+03,4.569076e+01
1.910000e+04,9.135634e+03,4.755117e+01
2.020000e+04,9.640254e+03,4.942932e+01
2.140000e+04,1.018073e+04,5.140663e+01
2.270000e+04,1.075735e+04,5.355040e+01
2.400000e+04,1.131257e+04,5.559433e+01
2.540000e+04,1.190084e+04,5.764798e+01
2.690000e+04,1.253533e+04,5.983821e+01
2.840000e+04,1.317728e+04,6.198984e+01
3.010000e+04,1.390696e+04,6.452343e+01
3.190000e+04,1.465340e+04,6.706808e+01
3.370000e+04,1.539347e+04,6.960329e+01
3.570000e+04,1.622470e+04,7.237926e+01
3.770000e+04,1.704352e+04,7.506082e+01
3.990000e+04,1.792944e+04,7.797652e+01
4.230000e+04,1.894649e+04,8.130065e+01
4.470000e+04,1.997011e+04,8.449807e+01
4.730000e+04,2.103703e+04,8.800459e+01
5.010000e+04,2.222146e+04,9.179088e+01
5.300000e+04,2.341346e+04,9.558822e+01
5.610000e+04,2.470731e+04,9.971368e+01
5.940000e+04,2.605218e+04,1.040279e+02
6.280000e+04,2.750620e+04,1.086899e+02
6.650000e+04,2.899967e+04,1.138014e+02
7.030000e+04,3.048432e+04,1.181891e+02
7.440000e+04,3.206174e+04,1.227344e+02
7.880000e+04,3.364667e+04,1.276585e+02
8.330000e+04,3.527423e+04,1.325362e+02
8.820000e+04,3.719354e+04,1.385332e+02
9.330000e+04,3.917050e+04,1.452580e+02
9.880000e+04,4.121139e+04,1.519281e+02
1.045000e+05,4.333650e+04,1.582614e+02
1.106000e+05,4.569808e+04,1.653675e+02
1.170000e+05,4.812087e+04,1.727598e+02
1.238000e+05,5.067386e+04,1.806910e+02
1.310000e+05,5.324547e+04,1.888706e+02
